indicator_name,indicator_code
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP1.ZS
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS
Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.10.ZS
Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%),SH.UHC.OOPC.25.ZS
UHC service coverage index,SH.UHC.SRVS.CV.XD
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT2.ZS
Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.TOTR.ZS
Newborns protected against tetanus (%),SH.VAC.TTNS.ZS
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD
"Current health expenditure per capita, PPP (current international $)",SH.XPD.CHEX.PP.CD
External health expenditure (% of current health expenditure),SH.XPD.EHEX.CH.ZS
External health expenditure per capita (current US$),SH.XPD.EHEX.PC.CD
"External health expenditure per capita, PPP (current international $)",SH.XPD.EHEX.PP.CD
Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS
Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS
Domestic general government health expenditure (% of general government expenditure),SH.XPD.GHED.GE.ZS
Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS
Out-of-pocket expenditure per capita (current US$),SH.XPD.OOPC.PC.CD
"Out-of-pocket expenditure per capita, PPP (current international $)",SH.XPD.OOPC.PP.CD
Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS
Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD
"Domestic private health expenditure per capita, PPP (current international $)",SH.XPD.PVTD.PP.CD
Income share held by second 20%,SI.DST.02ND.20
Income share held by third 20%,SI.DST.03RD.20
Income share held by fourth 20%,SI.DST.04TH.20
Income share held by highest 20%,SI.DST.05TH.20
Income share held by highest 10%,SI.DST.10TH.10
Proportion of people living below 50 percent of median income (%),SI.DST.50MD
Income share held by lowest 10%,SI.DST.FRST.10
Income share held by lowest 20%,SI.DST.FRST.20
Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY
Poverty gap at $2.15 a day (2017 PPP) (%),SI.POV.GAPS
Gini index,SI.POV.GINI
Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),SI.POV.LMIC
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP
Multidimensional poverty headcount ratio (UNDP) (% of population),SI.POV.MPUN
Multidimensional poverty headcount ratio (World Bank) (% of population),SI.POV.MPWB
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC
Poverty headcount ratio at societal poverty line (% of population),SI.POV.SOPO
Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),SI.POV.UMIC
Poverty gap at $6.85 a day (2017 PPP) (%),SI.POV.UMIC.GP
Average transaction cost of sending remittances to a specific country (%),SI.RMT.COST.IB.ZS
Average transaction cost of sending remittances from a specific country (%),SI.RMT.COST.OB.ZS
"Survey mean consumption or income per capita, bottom 40% of population (2017 PPP $ per day)",SI.SPR.PC40
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",SI.SPR.PC40.ZG
"Survey mean consumption or income per capita, total population (2017 PPP $ per day)",SI.SPR.PCAP
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
Prosperity gap (average shortfall from a prosperity standard of $25/day),SI.SPR.PGAP
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",SL.AGR.EMPL.FE.ZS
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS
"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS
"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS
Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS
GDP per person employed (constant 2021 PPP $),SL.GDP.PCAP.EM.KD
"Employment in industry, female (% of female employment) (modeled ILO estimate)",SL.IND.EMPL.FE.ZS
"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS
Employment in industry (% of total employment) (modeled ILO estimate),SL.IND.EMPL.ZS
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS
Child employment in manufacturing (% of economically active children ages 7-14),SL.MNF.0714.ZS
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",SL.SLF.0714.FE.ZS
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",SL.SLF.0714.MA.ZS
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS
Child employment in services (% of economically active children ages 7-14),SL.SRV.0714.ZS
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS
"Employment in services, male (% of male employment) (modeled ILO estimate)",SL.SRV.EMPL.MA.ZS
Employment in services (% of total employment) (modeled ILO estimate),SL.SRV.EMPL.ZS
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",SL.TLF.0714.SW.MA.TM
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS
"Average working hours of children, study and work, ages 7-14 (hours per week)",SL.TLF.0714.SW.TM
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS
"Average working hours of children, working only, female, ages 7-14 (hours per week)",SL.TLF.0714.WK.FE.TM
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS
"Average working hours of children, working only, male, ages 7-14 (hours per week)",SL.TLF.0714.WK.MA.TM
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS
"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS
"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS
"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.MA.ZS
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
"Labor force with advanced education, female (% of female working-age population with advanced education)",SL.TLF.ADVN.FE.ZS
"Labor force with advanced education, male (% of male working-age population with advanced education)",SL.TLF.ADVN.MA.ZS
Labor force with advanced education (% of total working-age population with advanced education),SL.TLF.ADVN.ZS
"Labor force with basic education, female (% of female working-age population with basic education)",SL.TLF.BASC.FE.ZS
"Labor force with basic education, male (% of male working-age population with basic education)",SL.TLF.BASC.MA.ZS
Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS
Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS
Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.MA.ZS
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",SL.TLF.INTM.FE.ZS
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",SL.TLF.INTM.MA.ZS
Labor force with intermediate education (% of total working-age population with intermediate education),SL.TLF.INTM.ZS
"Part time employment, female (% of total female employment)",SL.TLF.PART.FE.ZS
"Part time employment, male (% of total male employment)",SL.TLF.PART.MA.ZS
"Part time employment, total (% of total employment)",SL.TLF.PART.ZS
"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS
"Labor force, total",SL.TLF.TOTL.IN
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",SL.UEM.1524.MA.NE.ZS
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS
"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS
"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS
Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS
"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS
"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS
Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS
"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS
"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS
Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS
"Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)",SL.UEM.NEET.FE.ME.ZS
"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS
"Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)",SL.UEM.NEET.MA.ME.ZS
"Share of youth not in education, employment or training, male (% of male youth population)",SL.UEM.NEET.MA.ZS
"Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)",SL.UEM.NEET.ME.ZS
"Share of youth not in education, employment or training, total (% of youth population)",SL.UEM.NEET.ZS
"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS
"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS
"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",SL.WAG.0714.FE.ZS
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",SL.WAG.0714.MA.ZS
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS
Asylum-seekers by country or territory of asylum,SM.POP.ASYS.EA
Asylum-seekers by country or territory of origin,SM.POP.ASYS.EO
Forcibly displaced people,SM.POP.FDIP
Internally displaced people (IDP) by country or territory of asylum / origin,SM.POP.IDPC
Net migration,SM.POP.NETM
Other people in need of international protection by country or territory of asylum,SM.POP.OPIP.EA
Other people in need of international protection by country or territory of origin,SM.POP.OPIP.EO
Refugees under the mandate of the UNHCR by country or territory of asylum,SM.POP.RHCR.EA
Refugees under the mandate of the UNHCR by country or territory of origin,SM.POP.RHCR.EO
Refugees under the mandate of the UNRWA by country or territory of asylum,SM.POP.RRWA.EA
Refugees under the mandate of the UNRWA by country or territory of origin,SM.POP.RRWA.EO
"International migrant stock, total",SM.POP.TOTL
International migrant stock (% of population),SM.POP.TOTL.ZS
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS
Consumption of iodized salt (% of households),SN.ITK.SALT.ZS
Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS
Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",SP.DYN.CONM.ZS
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS
"Mortality rate, infant, female (per 1,000 live births)",SP.DYN.IMRT.FE.IN
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN
"Mortality rate, infant, male (per 1,000 live births)",SP.DYN.IMRT.MA.IN
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS
"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS
Wanted fertility rate (births per woman),SP.DYN.WFRT
Female headed households (% of households with a female head),SP.HOU.FEMA.ZS
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS
Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),SP.MTR.1519.ZS
"Population ages 00-04, female (% of female population)",SP.POP.0004.FE.5Y
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y
"Population ages 0-14, female",SP.POP.0014.FE.IN
"Population ages 0-14, female (% of female population)",SP.POP.0014.FE.ZS
"Population ages 0-14, male",SP.POP.0014.MA.IN
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS
"Population ages 0-14, total",SP.POP.0014.TO
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS
"Population ages 05-09, female (% of female population)",SP.POP.0509.FE.5Y
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y
"Population ages 10-14, female (% of female population)",SP.POP.1014.FE.5Y
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y
"Population ages 15-19, female (% of female population)",SP.POP.1519.FE.5Y
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y
"Population ages 15-64, female",SP.POP.1564.FE.IN
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS
"Population ages 15-64, male",SP.POP.1564.MA.IN
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS
"Population ages 15-64, total",SP.POP.1564.TO
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS
"Population ages 20-24, female (% of female population)",SP.POP.2024.FE.5Y
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y
"Population ages 25-29, female (% of female population)",SP.POP.2529.FE.5Y
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y
"Population ages 30-34, female (% of female population)",SP.POP.3034.FE.5Y
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y
"Population ages 35-39, female (% of female population)",SP.POP.3539.FE.5Y
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y
"Population ages 40-44, female (% of female population)",SP.POP.4044.FE.5Y
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y
"Population ages 45-49, female (% of female population)",SP.POP.4549.FE.5Y
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y
"Population ages 50-54, female (% of female population)",SP.POP.5054.FE.5Y
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y
"Population ages 55-59, female (% of female population)",SP.POP.5559.FE.5Y
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y
"Population ages 60-64, female (% of female population)",SP.POP.6064.FE.5Y
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y
"Population ages 65-69, female (% of female population)",SP.POP.6569.FE.5Y
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y
"Population ages 65 and above, female",SP.POP.65UP.FE.IN
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS
"Population ages 65 and above, male",SP.POP.65UP.MA.IN
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS
"Population ages 65 and above, total",SP.POP.65UP.TO
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS
"Population ages 70-74, female (% of female population)",SP.POP.7074.FE.5Y
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y
"Population ages 75-79, female (% of female population)",SP.POP.7579.FE.5Y
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y
"Population ages 80 and above, female (% of female population)",SP.POP.80UP.FE.5Y
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y
Sex ratio at birth (male births per female births),SP.POP.BRTH.MF
Age dependency ratio (% of working-age population),SP.POP.DPND
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
Population growth (annual %),SP.POP.GROW
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6
Technicians in R&D (per million people),SP.POP.TECH.RD.P6
"Population, total",SP.POP.TOTL
"Population, female",SP.POP.TOTL.FE.IN
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS
"Population, male",SP.POP.TOTL.MA.IN
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS
"Completeness of birth registration, female (%)",SP.REG.BRTH.FE.ZS
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS
Completeness of birth registration (%),SP.REG.BRTH.ZS
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS
Rural population,SP.RUR.TOTL
Rural population growth (annual %),SP.RUR.TOTL.ZG
Rural population (% of total population),SP.RUR.TOTL.ZS
Urban population growth (annual %),SP.URB.GROW
Urban population,SP.URB.TOTL
Urban population (% of total population),SP.URB.TOTL.IN.ZS
Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT
"International tourism, number of arrivals",ST.INT.ARVL
"International tourism, number of departures",ST.INT.DPRT
"International tourism, receipts (current US$)",ST.INT.RCPT.CD
"International tourism, receipts (% of total exports)",ST.INT.RCPT.XP.ZS
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD
"International tourism, expenditures for passenger transport items (current US$)",ST.INT.TRNX.CD
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD
"International tourism, expenditures for travel items (current US$)",ST.INT.TVLX.CD
"International tourism, expenditures (current US$)",ST.INT.XPND.CD
"International tourism, expenditures (% of total imports)",ST.INT.XPND.MP.ZS
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS
Import volume index (2015 = 100),TM.QTY.MRCH.XD.WD
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS
"Tariff rate, applied, simple mean, manufactured products (%)",TM.TAX.MANF.SM.AR.ZS
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS
"Share of tariff lines with specific rates, manufactured products (%)",TM.TAX.MANF.SR.ZS
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS
"Tariff rate, most favored nation, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.FN.ZS
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS
"Tariff rate, applied, simple mean, all products (%)",TM.TAX.MRCH.SM.AR.ZS
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS
"Share of tariff lines with specific rates, all products (%)",TM.TAX.MRCH.SR.ZS
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS
"Tariff rate, most favored nation, weighted mean, all products (%)",TM.TAX.MRCH.WM.FN.ZS
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS
"Tariff rate, applied, simple mean, primary products (%)",TM.TAX.TCOM.SM.AR.ZS
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS
"Share of tariff lines with specific rates, primary products (%)",TM.TAX.TCOM.SR.ZS
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS
"Tariff rate, most favored nation, weighted mean, primary products (%)",TM.TAX.TCOM.WM.FN.ZS
Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD
Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN
Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN
Insurance and financial services (% of commercial service imports),TM.VAL.INSF.ZS.WT
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN
Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS
Merchandise imports (current US$),TM.VAL.MRCH.CD.WT
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS
Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS
Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS
Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS
